"","'Tal1'","'Dmbx1'","'Emx2'","'Uncx'","'Paxip1'","'Ctnnb1'","'Prdm1'","'Rybp'","'Nfkb2'","'Tfdp2'","'Grhl1'","'Sp8'","'Irf2'","'Zfp287'","'Esr2'","'Zfp128'","'Vav1'","'Sp1'","'Ppargc1b'","'Sp7'","'Pin1'","'Nfya'","'Vsx1'","'Klf1'","'Vsx2'","'Mybl1'","'Mybl2'","'Rnf2'","'Blzf1'","'Topors'","'Nr3c2'","'Nfia'","'Taf6l'","'Nr4a3'","'Hoxd12'","'Hoxd13'","'Ttf1'","'Sox9'","'Nr2e1'","'Polr2b'","'Hltf'","'Sox6'","'Pbx3'","'Sox5'","'Foxa1'","'Cdc5l'","'Cebpg'","'Ciita'","'Rest'","'Ets1'","'Mafk'","'Tbx15'","'Scml2'","'Myb'","'Clock'","'Rbpj'","'Foxc1'","'Zfp422'","'Pias3'","'Runx1'","'Ppara'","'Relb'","'Vdr'","'Cdc6'","'Arid3a'","'Lhx1'","'Hoxb8'","'Hoxb9'","'Hic1'","'Lhx6'","'Six4'","'Hoxb3'","'Zfp263'","'Cbfa2t3'","'Ehf'","'Nhlh1'","'Gata6'","'Gata4'","'Gata5'","'Lpp'","'Nfe2l3'","'Nfe2l2'","'Tmf1'","'Gli1'","'Tbx2'","'En1'","'En2'","'Hnf1a'","'Tbx4'","'Zfp423'","'Elf1'","'Foxb1'","'Elf2'","'Elf4'","'Mxd1'","'Wt1'","'Rfx4'","'Bhlhe41'","'Sox13'","'Taf4b'","'Rfx2'","'Sox17'","'Ahr'","'Sall4'","'Med14'","'Smyd1'","'Sall3'","'Arid2'","'Zfp64'","'Pgr'","'Trps1'","'Hoxa1'","'Bach2'","'Bach1'","'Notch3'","'Pknox1'","'Pknox2'","'Sin3a'","'Etv3'","'Smad9'","'Smad5'","'Alx1'","'Egf'","'Mn1'","'Nkx3-1'","'Rbak'","'Gabpa'","'Nfkbiz'","'Zscan21'","'Trp73'","'E2f7'","'Esrrg'","'Rbpjl'","'Nfatc4'","'Nr5a1'","'Neurod4'","'Esrrb'","'Tbx21'","'Rorc'","'Mitf'","'Pax7'","'Pax6'","'Pax1'","'Pax3'","'Pax2'","'Pax9'","'Zkscan17'","'Gfi1'","'Mzf1'","'Runx3'","'Smarca4'","'Foxd4'","'Foxd3'","'Creb1'","'Srebf1'","'Sox11'","'Gmeb2'","'Irx4'","'Pou3f2'","'Ikzf1'","'Tcf23'","'Mtf2'","'Npas3'","'Nfatc3'","'Nfil3'","'Phox2b'","'Plag1'","'E2f2'","'Ddx3x'","'Taf2'","'Pou4f1'","'Trim33'","'Tsc2'","'Lmx1a'","'Nr2f2'","'Eomes'","'Wwtr1'","'Foxo1'","'Ar'","'Zfp354a'","'Elk4'","'Foxo4'","'Sall1'","'Mycn'","'Maml3'","'Foxp3'","'Atm'","'Uaca'","'Tbr1'","'Pml'","'Lhx3'","'Atr'","'Zbtb33'","'Ptch1'","'Lhx5'","'Barhl1'","'Irx5'","'Tfap2b'","'Tfap2e'","'Rxra'","'Rxrb'","'Gli2'","'Gli3'","'Zic4'","'Zic5'","'Zic2'","'Zic3'","'Satb1'","'Onecut2'","'Foxn4'","'Mnat1'","'Foxn1'","'Dlx2'","'Vezf1'","'sncg'","'sst'","'th'","'vip'","'xdh'","'slc17a8'","'slc5a7'","'slc6a3'","'slc6a8'","'smad3'","'opalin'","'pdgfra'","'palvb'","'reln'","'slc17a7'","'lyve'","'mfge8'","'mog'","'myl14'","'ndnf'","'ctss'","'foxj1'","'gad1'","'htr3a'","'igtp'","'acta2'","'alldh1l1'","'camk2'","'chat'","'cldn5'","'ngef'","'tiam1'","'slc1a2'","'gja1'","'fbll1'"
"C117",23,12,22,15,40,36,20,20,17,23,26,37,9,21,20,33,22,25,20,15,19,27,12,20,37,14,22,18,27,17,30,36,22,13,16,1,20,18,17,32,22,32,14,25,3,37,26,4,15,23,37,9,28,24,37,42,29,25,19,9,9,18,23,26,30,23,19,27,46,20,36,18,13,23,19,9,13,17,7,19,29,14,26,8,7,19,11,9,21,20,17,36,20,21,28,16,25,7,7,20,38,22,37,27,49,9,12,31,14,31,24,12,15,11,3,42,21,27,7,17,8,34,18,15,24,12,12,8,38,28,19,21,12,25,26,14,12,37,17,15,13,15,1,13,19,18,13,45,13,37,27,22,27,15,12,31,9,13,7,13,9,8,21,23,5,25,35,22,31,23,16,36,12,20,16,28,11,27,30,22,18,22,13,11,39,6,29,12,19,23,12,14,21,21,34,7,12,20,22,22,22,19,16,26,14,20,12,6,18,10,11,10,23,35,45,61,81,27,64,23,38,42,18,43,21,55,54,52,87,12,29,48,56,36,26,59,31,61,30,10,43,67,48,30,16,47,31,9,45
"C118",14,5,5,7,38,65,8,25,23,22,24,13,5,11,6,10,9,3,15,14,20,20,5,13,15,3,11,0,6,25,17,16,17,21,13,6,34,5,21,27,7,14,3,34,16,6,8,28,7,12,14,7,17,8,13,18,9,10,22,5,13,22,12,5,16,2,3,20,20,22,13,20,4,10,10,4,17,2,7,4,13,3,8,12,3,21,6,1,6,17,16,13,9,6,14,2,25,18,6,9,23,12,7,15,14,5,23,18,17,13,5,8,14,21,17,14,7,21,20,43,19,13,5,18,1,25,7,6,13,7,19,9,13,8,8,7,1,8,16,4,30,20,14,21,9,17,6,8,2,11,13,11,22,18,7,14,3,7,6,8,1,14,12,9,0,5,10,22,12,11,11,22,25,1,8,14,9,14,27,20,4,13,3,16,15,43,10,5,13,6,6,5,19,6,14,19,11,20,5,14,4,12,26,5,5,9,8,8,13,6,8,15,6,10,27,2,57,25,38,12,24,23,16,29,12,41,35,30,43,11,29,25,44,23,13,41,17,27,23,35,31,46,18,16,10,20,28,6,23
"C119",11,17,8,10,14,45,17,33,6,12,9,9,3,9,8,16,16,20,13,5,12,20,9,13,3,16,8,7,15,21,17,22,8,9,4,4,17,9,8,11,4,30,19,19,3,12,19,8,3,16,7,4,18,2,25,8,9,12,14,12,8,18,18,12,36,13,8,3,11,7,3,7,15,18,13,8,18,2,13,13,14,9,13,15,0,13,3,11,5,16,8,9,8,6,6,18,5,3,9,8,17,2,5,18,19,3,15,2,4,5,17,9,5,18,7,14,1,9,7,7,9,16,8,3,1,12,12,8,12,13,4,13,14,1,15,18,0,9,10,8,13,8,11,6,5,4,14,9,1,7,33,10,8,4,1,12,4,3,1,7,6,15,9,20,2,4,20,10,21,8,9,15,16,12,8,19,6,23,24,15,10,12,3,18,12,10,7,14,15,15,17,2,21,15,12,4,1,13,15,5,10,15,7,2,14,8,8,19,7,8,9,6,10,3,14,1,22,15,31,9,23,19,6,22,9,31,23,10,42,12,20,18,30,14,11,25,13,18,16,15,17,29,15,26,5,23,28,12,18
"C120",26,8,15,24,21,29,17,31,18,13,29,29,16,6,17,15,8,11,20,30,21,15,22,20,35,10,10,3,10,12,30,20,11,18,4,7,22,19,21,44,15,25,24,12,29,10,30,6,19,15,29,10,25,18,35,31,10,20,11,9,14,26,17,17,10,19,14,21,16,33,18,32,20,7,16,5,12,5,20,23,14,5,24,8,7,10,15,16,6,23,9,8,17,5,11,20,18,18,11,9,16,8,23,7,15,10,4,9,24,22,22,19,18,19,21,23,9,26,16,26,18,15,15,18,10,6,11,11,29,12,16,18,23,16,17,15,20,10,19,8,16,13,20,27,7,9,13,29,14,18,14,11,4,18,21,15,9,15,10,11,8,12,22,22,13,15,25,15,17,10,14,34,22,11,11,23,26,42,24,28,21,8,8,15,14,10,12,8,15,8,19,16,11,24,14,10,12,15,18,27,15,13,19,14,24,17,3,5,10,24,33,2,7,20,26,3,60,21,47,10,42,26,15,23,14,40,45,34,52,9,32,26,43,31,13,32,12,36,17,13,24,50,33,19,19,45,24,5,35
"C121",3,7,9,13,17,20,5,12,7,19,8,10,4,8,7,11,7,6,2,14,12,10,6,4,6,0,4,1,17,16,23,1,10,12,5,9,7,15,11,2,0,4,1,15,2,12,10,7,10,7,23,5,5,1,0,11,0,8,3,10,9,10,13,1,0,7,7,12,12,11,7,7,1,23,18,8,10,0,2,3,12,11,9,12,1,6,2,2,12,5,4,2,5,10,5,2,7,21,5,4,10,2,13,12,9,15,6,4,3,4,13,13,10,2,4,10,2,11,4,16,8,8,2,11,5,15,4,4,15,3,11,1,14,0,11,6,8,7,3,4,9,1,3,11,4,8,2,11,0,5,12,8,7,12,9,12,3,14,2,2,7,5,5,8,1,6,13,14,9,6,5,12,3,2,13,8,14,11,10,9,11,5,6,14,5,13,3,0,1,4,4,2,10,10,3,16,9,8,1,3,2,0,1,1,4,0,2,6,14,10,5,6,9,12,5,4,29,9,14,6,13,12,7,19,1,24,19,25,22,3,9,12,15,16,3,18,6,10,18,21,20,11,18,7,4,13,7,6,9
"C122",17,3,19,5,20,53,15,29,4,10,27,13,5,10,12,16,11,6,16,7,7,3,11,15,25,0,14,4,12,21,38,19,12,18,3,9,11,9,27,10,19,18,3,25,9,30,8,0,11,3,9,4,3,20,27,10,1,15,9,12,2,3,8,12,23,12,5,35,12,12,13,8,8,4,6,6,21,0,18,10,24,14,12,6,3,5,13,1,8,26,8,12,12,0,8,7,15,12,4,17,8,7,21,16,32,3,4,9,17,10,30,16,13,13,32,2,12,8,14,13,4,5,9,17,18,8,10,16,7,4,12,13,10,1,8,14,16,14,7,6,8,4,5,4,7,14,15,2,5,8,18,0,15,8,6,8,6,17,12,9,7,12,11,5,15,4,12,10,8,15,12,18,16,12,11,3,15,19,25,20,7,14,5,7,5,2,16,4,1,13,10,13,7,9,17,19,16,23,13,20,14,6,18,3,17,18,8,9,6,11,5,21,17,27,23,5,43,16,51,14,28,23,11,28,13,43,40,23,54,10,25,27,24,22,18,29,22,37,18,3,23,32,23,15,9,27,32,3,28
"C123",32,23,22,25,53,90,24,55,20,31,27,24,37,14,31,21,4,26,43,39,28,42,35,45,19,29,21,22,33,27,62,45,27,24,40,22,42,30,32,36,23,34,27,28,26,18,33,14,23,27,36,23,26,24,32,43,17,35,22,32,28,46,14,41,23,19,27,33,24,15,34,54,20,37,59,13,33,12,23,16,38,33,45,25,11,29,20,28,34,32,34,32,39,29,21,29,19,30,14,21,41,23,38,53,40,31,22,27,50,35,28,20,21,37,9,34,27,30,28,52,48,34,31,45,19,26,40,29,53,25,47,45,25,51,34,31,20,27,16,18,37,27,16,34,35,36,23,22,33,18,51,17,10,28,26,19,26,26,20,11,17,31,33,26,24,21,46,31,33,29,32,22,60,29,27,27,27,47,46,35,36,24,22,25,35,24,56,25,27,20,15,54,39,45,33,10,31,28,15,22,54,29,37,25,33,32,39,18,34,19,33,14,19,39,73,9,128,35,98,31,68,44,29,61,27,87,85,44,122,26,59,44,80,64,26,76,40,91,61,24,62,89,52,45,31,54,34,7,65
"C124",26,6,8,22,24,35,28,25,8,17,16,14,7,15,19,7,8,22,20,15,13,4,17,14,9,3,15,11,28,3,22,8,10,6,18,3,7,10,15,13,12,17,19,34,19,24,14,16,9,10,17,11,8,4,12,13,7,13,11,14,11,14,9,23,8,5,16,6,16,5,9,9,16,11,14,5,9,4,10,11,22,9,23,10,14,16,19,8,21,36,5,6,18,19,11,3,18,13,18,25,18,7,12,22,6,12,11,12,13,15,13,22,8,19,15,7,7,10,9,18,11,19,19,30,6,16,33,21,38,18,9,25,20,23,11,12,4,15,9,18,7,14,7,8,17,16,12,18,17,17,19,11,12,11,14,10,18,10,3,13,8,12,1,14,27,14,21,26,16,16,24,24,4,4,16,9,9,9,29,6,17,13,8,24,14,35,11,7,4,16,19,5,14,29,16,13,10,3,24,15,15,24,6,6,5,13,22,10,10,1,27,1,5,14,22,22,67,16,43,11,21,34,20,33,22,43,34,36,66,7,27,24,49,28,16,47,16,37,32,2,36,47,31,19,14,23,29,1,23
"C125",1,10,3,1,2,21,9,2,12,22,3,8,4,13,3,0,4,8,7,17,7,21,2,9,4,5,10,3,7,8,24,18,6,15,6,0,1,9,6,10,9,3,2,6,10,11,5,8,10,6,10,0,5,6,2,8,3,0,13,1,11,4,8,17,2,0,14,4,12,9,11,9,7,7,14,4,7,15,0,4,2,5,8,8,5,6,4,1,9,5,10,0,9,2,8,1,6,6,5,7,13,7,10,3,21,8,4,16,1,0,0,7,1,2,7,0,3,1,3,0,14,10,8,6,8,9,1,3,2,0,4,2,19,13,5,3,4,4,2,6,9,6,4,1,3,17,9,13,2,16,11,4,0,9,3,4,5,4,9,13,9,4,30,5,16,13,1,2,13,5,5,2,4,10,7,13,10,10,19,7,10,6,19,12,9,4,19,1,0,5,0,7,6,9,1,7,10,3,9,9,7,3,18,2,6,14,5,9,6,4,6,1,6,26,1,1,13,3,12,6,10,12,6,10,2,9,10,4,14,0,10,12,15,9,1,6,13,30,9,14,7,11,5,5,4,9,5,4,12
"C126",25,10,10,23,21,29,14,25,23,14,14,13,2,6,14,11,9,21,12,25,12,16,5,15,11,24,18,11,22,29,34,43,12,34,18,10,8,25,2,36,11,13,5,25,4,44,18,10,17,19,29,31,22,8,26,10,25,10,20,20,34,22,23,7,29,7,14,25,12,10,22,9,16,11,44,8,21,18,9,19,14,13,21,13,11,13,8,10,19,10,20,23,19,5,14,6,20,28,13,7,46,21,13,10,20,13,19,11,25,17,36,25,25,21,25,37,13,18,15,23,8,16,19,16,14,13,6,8,30,22,22,14,13,17,13,5,7,17,17,15,18,12,5,20,22,16,17,9,8,11,35,10,6,12,8,18,7,16,10,15,14,10,13,20,14,21,23,33,19,20,15,34,31,6,7,17,19,13,56,24,44,8,5,23,44,27,11,12,7,8,30,32,5,32,13,7,23,35,16,2,14,10,40,24,2,18,13,28,33,14,10,23,18,16,46,4,84,15,47,12,37,38,24,52,13,48,52,29,62,11,35,30,42,50,11,42,22,49,46,1,40,42,40,40,11,35,37,1,43
"C127",13,8,10,22,34,62,5,23,14,3,27,20,13,10,4,18,11,8,16,19,24,10,16,5,21,5,14,5,20,11,16,16,0,10,28,11,29,13,3,19,2,21,2,4,11,12,19,9,6,27,31,14,8,10,41,9,3,12,23,1,6,9,3,9,18,4,9,9,19,5,13,6,9,28,3,6,25,14,6,5,5,5,10,2,5,4,4,12,14,36,10,8,8,19,11,7,10,20,5,5,15,15,13,12,29,11,1,18,12,9,7,9,23,22,9,10,13,6,12,10,10,17,15,16,17,13,13,18,18,18,13,10,12,18,10,13,2,24,13,9,18,12,16,1,15,14,11,14,6,6,18,8,19,10,7,21,25,1,10,20,3,5,6,13,13,5,8,16,33,19,6,40,18,13,4,10,15,13,27,20,10,11,6,15,7,8,14,9,1,10,18,11,28,16,17,16,19,16,6,15,14,9,17,16,12,14,17,10,20,2,24,11,20,15,27,1,41,14,35,9,28,22,14,37,9,33,25,19,67,11,24,16,34,18,18,34,18,29,18,9,30,40,27,14,5,31,21,2,23
"C128",8,15,15,17,25,69,22,24,10,14,36,22,12,3,6,19,12,20,9,24,10,29,8,7,6,19,11,5,19,18,25,26,3,26,15,2,1,1,12,17,5,23,21,14,6,9,13,15,9,9,12,8,25,22,21,38,8,11,26,9,21,14,25,18,13,14,8,4,32,5,30,7,29,17,15,8,12,4,26,7,19,7,12,9,3,15,18,7,22,13,20,13,22,4,31,9,14,13,8,21,16,32,15,13,18,22,23,4,4,14,13,7,20,12,4,16,10,24,10,27,23,17,20,26,15,18,19,4,16,15,6,12,10,25,6,7,7,17,9,9,12,16,20,12,8,24,11,19,13,29,18,4,13,19,3,10,5,8,5,14,7,28,14,29,16,6,9,5,20,20,9,40,33,10,12,19,17,18,26,30,9,8,25,41,9,24,18,27,8,3,14,1,9,20,20,17,12,18,18,13,15,6,20,9,10,28,24,10,18,14,18,10,5,21,31,5,52,15,48,8,26,24,21,28,11,38,39,12,62,9,23,24,40,42,14,36,15,33,24,22,24,57,21,20,16,24,31,4,29
"C129",32,10,18,24,14,69,23,33,19,25,23,15,5,19,18,23,13,22,20,22,27,18,24,16,22,15,8,21,35,16,48,36,19,27,0,14,25,13,11,40,13,10,11,33,6,20,21,20,11,27,18,9,15,8,44,18,11,18,35,8,3,38,16,20,15,17,13,37,20,16,16,12,17,28,23,13,24,13,17,20,20,27,20,11,5,18,14,19,12,26,11,13,9,9,9,4,20,30,18,21,30,14,15,28,14,17,13,27,17,15,21,8,21,16,13,15,24,29,24,31,27,22,11,18,15,7,22,10,25,5,20,17,15,20,6,13,15,21,16,6,22,8,14,6,10,25,22,12,28,19,34,21,14,24,16,17,7,13,24,7,13,12,14,25,16,19,17,25,13,31,19,30,21,13,13,19,18,27,41,11,18,22,10,27,15,16,15,14,18,7,17,14,14,20,15,15,9,9,22,19,16,16,11,6,21,19,15,20,30,35,16,8,7,6,32,4,63,14,47,14,28,28,12,18,9,59,37,24,89,4,36,27,60,16,18,41,10,48,25,28,39,57,26,14,15,41,29,8,32
"C130",12,13,4,7,32,46,2,15,6,18,5,18,8,8,17,1,0,24,15,12,8,8,14,14,30,8,2,8,7,9,36,15,5,14,10,5,14,7,6,20,7,18,12,11,3,2,11,1,4,10,21,7,13,9,18,4,1,5,16,2,8,11,5,5,10,5,11,3,10,8,6,10,2,5,1,11,13,3,5,8,13,5,6,4,5,17,4,5,3,30,2,2,7,6,9,9,3,6,1,11,11,12,15,6,13,13,12,7,5,10,3,0,11,10,7,1,10,13,7,10,12,29,8,11,3,6,12,13,16,16,8,3,6,11,12,10,9,8,17,14,4,15,8,18,14,18,11,21,2,0,7,1,9,8,8,4,1,0,10,7,4,2,10,19,4,7,3,13,13,8,3,7,26,5,11,18,15,4,16,13,21,5,8,8,1,5,5,5,1,5,1,1,3,2,14,19,13,3,9,16,15,6,20,5,8,12,7,8,20,9,7,5,4,4,14,4,41,11,24,3,22,19,11,14,6,17,19,12,29,7,23,14,22,27,2,24,11,34,15,7,29,28,15,11,9,14,14,0,13
"C131",1,0,0,2,10,2,0,5,2,1,12,0,0,0,4,4,0,3,1,0,6,0,3,4,1,0,0,4,9,5,3,8,0,2,0,0,0,7,0,0,5,2,0,0,6,4,0,1,3,12,4,6,5,7,1,0,6,0,8,0,5,0,1,0,7,7,0,0,0,7,11,4,1,0,6,1,10,0,0,4,5,2,6,2,0,4,11,0,9,6,1,1,3,2,2,1,0,2,0,3,2,0,3,1,0,0,4,0,0,2,6,4,1,5,7,0,4,5,0,3,8,1,4,0,0,0,1,0,2,8,4,0,3,3,2,0,7,4,0,0,6,6,0,4,4,4,12,0,4,0,0,5,4,3,3,3,0,1,0,2,0,0,2,0,0,1,6,10,0,2,0,4,5,0,0,4,4,0,6,4,0,0,5,2,1,1,5,0,0,3,1,1,7,8,0,0,6,0,6,0,6,0,0,0,0,7,3,3,7,0,0,0,3,5,2,7,12,3,11,6,9,12,4,10,3,8,13,15,7,1,9,3,9,6,5,17,6,8,6,2,4,12,11,9,1,6,5,3,6
